label,count,cluster_id,anchor_key,anchor_display,anchor_category,value_type,reason,normalized
Account,86,31,ACCOUNT,Account,account,TEXT,cluster->new_anchor,account
My Account,14,31,ACCOUNT,Account,account,TEXT,cluster->new_anchor,my account
tín số tài khoản,11,31,ACCOUNT,Account,account,TEXT,cluster->new_anchor,tin so account
Thông tin tài khoản,7,31,ACCOUNT,Account,account,TEXT,cluster->new_anchor,thong tin account
Tên tài khoản,7,31,ACCOUNT,Account,account,TEXT,cluster->new_anchor,ten account
Tài khoản,2,31,ACCOUNT,Account,account,TEXT,cluster->new_anchor,account
Tên tài khoản của người nhận,2,31,ACCOUNT,Account,account,TEXT,cluster->new_anchor,ten account cua nguoi nhan
Tín số tài khoản,2,31,ACCOUNT,Account,account,TEXT,cluster->new_anchor,tin so account
"Account""",1,31,ACCOUNT,Account,account,TEXT,cluster->new_anchor,account
Thông tin Tài khoản của người nhận,1,31,ACCOUNT,Account,account,TEXT,cluster->new_anchor,thong tin account cua nguoi nhan
Tài khoản Thông tin,1,31,ACCOUNT,Account,account,TEXT,cluster->new_anchor,account thong tin
Tài khoản thông tin,1,31,ACCOUNT,Account,account,TEXT,cluster->new_anchor,account thong tin
Tài khoản tín dụng,1,31,ACCOUNT,Account,account,TEXT,cluster->new_anchor,account tin dung
Tên Tài khoản,1,31,ACCOUNT,Account,account,TEXT,cluster->new_anchor,ten account
số tài khoản,1,31,ACCOUNT,Account,account,TEXT,cluster->new_anchor,so account
tên tài khoản,1,31,ACCOUNT,Account,account,TEXT,cluster->new_anchor,ten account
Account Access,1,592,ACCOUNT_ACCESS,Account Access,account,TEXT,cluster->new_anchor,account access
Account Charges,4,259,ACCOUNT_CHARGES,Account Charges,account,TEXT,cluster->new_anchor,account charges
Account Credentials,2,406,ACCOUNT_CREDENTIALS,Account Credentials,account,TEXT,cluster->new_anchor,account credentials
Account Dashboard,1,593,ACCOUNT_DASHBOARD,Account Dashboard,account,TEXT,cluster->new_anchor,account dashboard
Điều Dashboard tài khoản,1,593,ACCOUNT_DASHBOARD,Account Dashboard,account,TEXT,cluster->new_anchor,đieu dashboard account
Account Details,4,260,ACCOUNT_DETAILS,Account Details,account,TEXT,cluster->new_anchor,account details
Account Fees,12,121,ACCOUNT_FEES,Account Fees,account,TEXT,cluster->new_anchor,account fees
Account ID,9,147,ACCOUNT_ID,Account ID,account,TEXT,cluster->new_anchor,account id
Điều ID Tài khoản,7,147,ACCOUNT_ID,Account ID,account,TEXT,cluster->new_anchor,đieu id account
Tên ID tài khoản,1,147,ACCOUNT_ID,Account ID,account,TEXT,cluster->new_anchor,ten id account
Tên người dùng / ID Tài khoản,1,147,ACCOUNT_ID,Account ID,account,TEXT,cluster->new_anchor,ten nguoi dung id account
Tín dụng tài khoản ID,1,147,ACCOUNT_ID,Account ID,account,TEXT,cluster->new_anchor,tin dung account id
Điều ID tài khoản,1,147,ACCOUNT_ID,Account ID,account,TEXT,cluster->new_anchor,đieu id account
Account Information,5,231,ACCOUNT_INFORMATION,Account Information,account,TEXT,cluster->new_anchor,account information
Account Login,29,62,ACCOUNT_LOGIN,Account Login,account,TEXT,cluster->new_anchor,account login
Account Management,2,407,ACCOUNT_MANAGEMENT,Account Management,account,TEXT,cluster->new_anchor,account management
Destination Account Number,1,851,ACCOUNT_NUMBER_FIELD,Account Number,account,TEXT,cluster->existing_anchor jaccard=0.67,destination account number
Account Overview,17,101,ACCOUNT_OVERVIEW,Account Overview,account,TEXT,cluster->new_anchor,account overview
Account Recovery,4,261,ACCOUNT_RECOVERY,Account Recovery,account,TEXT,cluster->new_anchor,account recovery
Account Services,2,408,ACCOUNT_SERVICES,Account Services,account,TEXT,cluster->new_anchor,account services
